City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
115,Oistins,BB,77.0,13.07,-59.53,broken clouds,Butterfly Beach Hotel
116,Padang,ID,68.95,-0.92,100.36,few clouds,Mercure Padang
117,Bossangoa,CF,72.57,6.5,17.45,clear sky,LA PERLE DE BOSTON
118,Hobart,AU,64.0,-42.88,147.33,few clouds,St Ives Apartments
119,Champerico,MX,77.0,16.38,-93.6,few clouds,
129,Santa Barbara,US,68.0,34.42,-119.7,broken clouds,Kimpton Canary Hotel
135,Namibe,AO,73.89,-15.19,12.15,broken clouds,Chik-Chik Namibe
136,Denpasar,ID,80.6,-8.65,115.22,broken clouds,Aston Denpasar Hotel & Convention Center
138,Acapulco,MX,84.2,16.86,-99.88,scattered clouds,Crowne Plaza Acapulco
139,Vaini,IN,66.11,15.34,74.49,clear sky,Dandeli Lake County
140,Sao Filipe,CV,70.7,14.9,-24.5,scattered clouds,Tortuga B&B
142,Bartlesville,US,61.0,36.75,-95.98,clear sky,Hilton Garden Inn Bartlesville
